ID,condition,corr,other,dip,dop,npl
1,High,73,16,10,6,0
1,Low,71,15,6,3,0
2,High,80,12,6,4,3
2,Low,62,27,3,1,2
3,High,88,6,9,5,2
3,Low,80,4,4,1,1
4,High,43,37,2,13,5
4,Low,58,29,7,4,2
5,High,66,9,11,12,2
5,Low,80,7,8,5,0
6,High,68,17,10,9,1
6,Low,59,17,10,8,1
7,High,80,20,5,5,0
7,Low,73,11,2,3,1
8,High,61,19,14,10,1
8,Low,76,12,5,1,1
9,High,39,32,12,11,6
9,Low,54,25,8,11,2
10,High,76,12,4,7,1
10,Low,78,16,1,2,3
11,High,9,34,19,28,10
11,Low,10,42,8,30,10
12,High,12,40,18,25,5
12,Low,31,31,13,20,5
13,High,55,10,12,9,9
13,Low,76,15,5,7,2
14,High,67,20,7,1,0
14,Low,84,14,4,2,1
15,High,74,9,7,5,0
15,Low,91,5,6,2,1
16,High,43,21,10,10,11
16,Low,73,8,10,9,5
17,High,62,16,15,5,2
17,Low,78,9,9,4,0
18,High,75,20,5,5,0
18,Low,82,8,2,3,0
19,High,44,34,10,14,3
19,Low,66,15,5,6,3
20,High,66,15,4,10,0
20,Low,88,10,5,2,0
21,High,22,30,18,20,5
21,Low,34,36,17,14,4
22,High,81,11,5,2,1
22,Low,82,8,8,2,0
23,High,45,36,5,12,7
23,Low,51,30,8,3,3
24,High,66,18,4,9,3
24,Low,75,8,4,4,9
25,High,82,10,3,7,3
25,Low,70,14,4,4,3
26,High,92,6,0,2,0
26,Low,91,9,0,0,0
27,High,48,23,13,15,6
27,Low,32,24,7,13,19
